file;n;c_par;density;k;Pipe 1 time;Pipe 1 result;Reduction time;Reduced nodes;Reduced edges;Kernel time;Kernel nodes;Kernel edges;HS-ST time;Pipe 2 time;Pipe 2 result;Time to solve;Pipe 1 == Pipe 2;Pipe 1 timeout;Pipe 2 timeout;
k_star_k_60_n_80_prob_0.03_0.gr;80;2;0;1;-1.0;-1;0.069;80;31;0.003;0;1;0.0;0.07200000000000001;0;0.076;-1;-1;0;
k_star_k_60_n_80_prob_0.03_1.gr;80;2;0;1;-1.0;-1;0.025;80;32;0.001;0;1;0.0;0.026000000000000002;0;0.03;-1;-1;0;
k_star_k_60_n_80_prob_0.03_2.gr;80;2;0;1;-1.0;-1;0.015;80;30;0.0;0;1;0.0;0.015;0;0.015;-1;-1;0;
k_star_k_60_n_80_prob_0.03_3.gr;80;2;0;1;-1.0;-1;0.021;80;35;0.001;0;1;0.0;0.022000000000000002;0;0.026;-1;-1;0;
k_star_k_60_n_80_prob_0.03_4.gr;80;2;0;1;-1.0;-1;0.025;80;33;0.002;0;1;0.0;0.027000000000000003;0;0.034;-1;-1;0;
k_star_k_60_n_80_prob_0.03_5.gr;80;2;0;1;-1.0;-1;0.011;80;36;0.0;0;1;0.0;0.011;0;0.015;-1;-1;0;
k_star_k_60_n_80_prob_0.03_6.gr;80;2;0;1;-1.0;-1;0.007;80;39;0.001;0;1;0.0;0.008;0;0.016;-1;-1;0;
k_star_k_60_n_80_prob_0.03_7.gr;80;2;0;1;-1.0;-1;0.008;80;35;0.0;0;1;0.0;0.008;0;0.013;-1;-1;0;
k_star_k_60_n_80_prob_0.03_8.gr;80;2;0;1;-1.0;-1;0.009;80;34;0.0;0;1;0.0;0.009;0;0.015;-1;-1;0;
k_star_k_60_n_80_prob_0.03_9.gr;80;2;1;1;-1.0;-1;0.006;80;41;0.0;0;1;0.0;0.006;0;0.011;-1;-1;0;
k_star_k_60_n_100_prob_0.03_0.gr;100;2;1;1;-1.0;-1;0.016;100;51;0.0;0;1;0.0;0.016;0;0.03;-1;-1;0;
k_star_k_60_n_100_prob_0.03_1.gr;100;2;1;1;-1.0;-1;0.026;100;64;0.001;0;1;0.0;0.027;0;0.049;-1;-1;0;
k_star_k_60_n_100_prob_0.03_2.gr;100;2;1;1;-1.0;-1;0.021;100;72;0.0;0;1;0.0;0.021;0;0.057;-1;-1;0;
k_star_k_60_n_100_prob_0.03_3.gr;100;2;1;1;-1.0;-1;0.01;100;70;0.001;0;1;0.0;0.011;0;0.039;-1;-1;0;
k_star_k_60_n_100_prob_0.03_4.gr;100;2;1;1;-1.0;-1;0.011;100;85;0.002;0;1;0.001;0.013999999999999999;0;0.072;-1;-1;0;
k_star_k_60_n_100_prob_0.03_5.gr;100;2;1;1;-1.0;-1;0.012;100;67;0.001;0;1;0.0;0.013000000000000001;0;0.037;-1;-1;0;
k_star_k_60_n_100_prob_0.03_6.gr;100;2;1;1;-1.0;-1;0.01;100;85;0.002;0;1;0.001;0.013000000000000001;0;0.069;-1;-1;0;
k_star_k_60_n_100_prob_0.03_7.gr;100;2;1;1;-1.0;-1;0.012;100;69;0.001;0;1;0.0;0.013000000000000001;0;0.042;-1;-1;0;
k_star_k_60_n_100_prob_0.03_8.gr;100;2;1;1;-1.0;-1;0.011;100;82;0.001;0;1;0.0;0.012;0;0.053;-1;-1;0;
k_star_k_60_n_100_prob_0.03_9.gr;100;2;1;1;-1.0;-1;0.018;100;84;0.001;0;1;0.001;0.02;0;0.074;-1;-1;0;
k_star_k_60_n_120_prob_0.03_0.gr;120;2;1;1;-1.0;-1;0.034;120;107;0.002;0;1;0.0;0.036000000000000004;0;0.166;-1;-1;0;
k_star_k_60_n_120_prob_0.03_1.gr;120;2;1;1;-1.0;-1;0.028;120;119;0.002;0;1;0.001;0.031;0;0.169;-1;-1;0;
k_star_k_60_n_120_prob_0.03_2.gr;120;2;1;1;-1.0;-1;0.013;120;105;0.001;0;1;0.0;0.013999999999999999;0;0.12;-1;-1;0;
k_star_k_60_n_120_prob_0.03_3.gr;120;2;1;1;-1.0;-1;0.013;120;121;0.002;0;1;0.001;0.016;0;0.192;-1;-1;0;
k_star_k_60_n_120_prob_0.03_4.gr;120;2;1;1;-1.0;-1;0.012;120;110;0.002;0;1;0.0;0.014;0;0.139;-1;-1;0;
k_star_k_60_n_120_prob_0.03_5.gr;120;2;1;1;-1.0;-1;0.012;120;89;0.002;0;1;0.0;0.014;0;0.104;-1;-1;0;
k_star_k_60_n_120_prob_0.03_6.gr;120;2;1;1;-1.0;-1;0.015;120;113;0.001;0;1;0.0;0.016;0;0.144;-1;-1;0;
k_star_k_60_n_120_prob_0.03_7.gr;120;2;1;1;-1.0;-1;0.013;120;101;0.001;0;1;0.0;0.013999999999999999;0;0.118;-1;-1;0;
k_star_k_60_n_120_prob_0.03_8.gr;120;2;1;1;-1.0;-1;0.014;120;109;0.002;0;1;0.0;0.016;0;0.151;-1;-1;0;
k_star_k_60_n_120_prob_0.03_9.gr;120;2;1;1;-1.0;-1;0.014;120;106;0.001;0;1;0.0;0.015;0;0.13;-1;-1;0;
k_star_k_60_n_140_prob_0.03_0.gr;140;2;1;1;-1.0;-1;0.025;140;134;0.003;0;1;0.0;0.028;0;0.291;-1;-1;0;
k_star_k_60_n_140_prob_0.03_1.gr;140;2;1;1;-1.0;-1;0.041;140;147;0.003;0;1;0.0;0.044000000000000004;0;0.278;-1;-1;0;
k_star_k_60_n_140_prob_0.03_2.gr;140;2;1;1;-1.0;-1;0.043;140;138;0.003;0;1;0.0;0.046;0;0.246;-1;-1;0;
k_star_k_60_n_140_prob_0.03_3.gr;140;2;1;1;-1.0;-1;0.04;140;142;0.002;0;1;0.001;0.043000000000000003;0;0.305;-1;-1;0;
k_star_k_60_n_140_prob_0.03_4.gr;140;2;1;1;-1.0;-1;0.019;140;132;0.002;0;1;0.0;0.020999999999999998;0;0.227;-1;-1;0;
k_star_k_60_n_140_prob_0.03_5.gr;140;2;1;1;-1.0;-1;0.023;140;152;0.003;0;1;0.0;0.026;0;0.4;-1;-1;0;
k_star_k_60_n_140_prob_0.03_6.gr;140;2;1;1;-1.0;-1;0.018;140;153;0.003;0;1;0.0;0.020999999999999998;0;0.348;-1;-1;0;
k_star_k_60_n_140_prob_0.03_7.gr;140;2;1;1;-1.0;-1;0.02;140;154;0.003;0;1;0.0;0.023;0;0.297;-1;-1;0;
k_star_k_60_n_140_prob_0.03_8.gr;140;2;1;1;-1.0;-1;0.019;140;146;0.003;0;1;0.0;0.022;0;0.292;-1;-1;0;
k_star_k_60_n_140_prob_0.03_9.gr;140;2;1;1;-1.0;-1;0.018;140;149;0.003;0;1;0.0;0.020999999999999998;0;0.312;-1;-1;0;
k_star_k_60_n_160_prob_0.03_0.gr;160;2;1;1;-1.0;-1;0.025;160;156;0.003;0;1;0.0;0.028;0;0.353;-1;-1;0;
k_star_k_60_n_160_prob_0.03_1.gr;160;2;1;1;-1.0;-1;0.023;160;176;0.003;0;1;0.0;0.026;0;0.409;-1;-1;0;
k_star_k_60_n_160_prob_0.03_2.gr;160;2;1;1;-1.0;-1;0.023;160;188;0.003;0;1;0.0;0.026;0;0.523;-1;-1;0;
k_star_k_60_n_160_prob_0.03_3.gr;160;2;1;1;-1.0;-1;0.041;160;167;0.004;0;1;0.0;0.045;0;0.424;-1;-1;0;
k_star_k_60_n_160_prob_0.03_4.gr;160;2;1;1;-1.0;-1;0.022;160;180;0.004;0;1;0.0;0.026;0;0.452;-1;-1;0;
k_star_k_60_n_160_prob_0.03_5.gr;160;2;1;1;-1.0;-1;0.033;160;167;0.003;0;1;0.0;0.036000000000000004;0;0.405;-1;-1;0;
k_star_k_60_n_160_prob_0.03_6.gr;160;2;1;1;-1.0;-1;0.044;160;170;0.002;0;1;0.0;0.046;0;0.555;-1;-1;0;
k_star_k_60_n_160_prob_0.03_7.gr;160;2;1;1;-1.0;-1;0.043;160;177;0.002;0;1;0.0;0.045;0;0.471;-1;-1;0;
k_star_k_60_n_160_prob_0.03_8.gr;160;2;1;1;-1.0;-1;0.037;160;177;0.004;0;1;0.0;0.040999999999999995;0;0.478;-1;-1;0;
k_star_k_60_n_160_prob_0.03_9.gr;160;2;1;1;-1.0;-1;0.025;160;205;0.005;0;1;0.0;0.030000000000000002;0;0.607;-1;-1;0;
k_star_k_60_n_180_prob_0.03_0.gr;180;2;1;1;-1.0;-1;0.031;180;228;0.005;0;1;0.0;0.036;0;0.716;-1;-1;0;
k_star_k_60_n_180_prob_0.03_1.gr;180;2;1;1;-1.0;-1;0.03;180;201;0.004;0;1;0.0;0.034;0;0.618;-1;-1;0;
k_star_k_60_n_180_prob_0.03_2.gr;180;2;1;1;-1.0;-1;0.03;180;203;0.004;0;1;0.0;0.034;0;0.587;-1;-1;0;
k_star_k_60_n_180_prob_0.03_3.gr;180;2;1;1;-1.0;-1;0.03;180;205;0.003;0;1;0.0;0.033;0;0.631;-1;-1;0;
k_star_k_60_n_180_prob_0.03_4.gr;180;2;1;1;-1.0;-1;0.031;180;242;0.006;0;1;0.0;0.037;0;0.718;-1;-1;0;
k_star_k_60_n_180_prob_0.03_5.gr;180;2;1;1;-1.0;-1;0.031;180;210;0.004;0;1;0.0;0.035;0;0.65;-1;-1;0;
k_star_k_60_n_180_prob_0.03_6.gr;180;2;1;1;-1.0;-1;0.03;180;206;0.004;0;1;0.0;0.034;0;0.824;-1;-1;0;
k_star_k_60_n_180_prob_0.03_7.gr;180;2;1;1;-1.0;-1;0.036;180;236;0.005;0;1;0.0;0.040999999999999995;0;0.736;-1;-1;0;
k_star_k_60_n_180_prob_0.03_8.gr;180;2;1;1;-1.0;-1;0.033;180;200;0.004;0;1;0.0;0.037000000000000005;0;0.546;-1;-1;0;
k_star_k_60_n_180_prob_0.03_9.gr;180;2;1;1;-1.0;-1;0.034;180;235;0.005;0;1;0.0;0.039;0;0.844;-1;-1;0;
k_star_k_60_n_200_prob_0.03_0.gr;200;2;1;1;-1.0;-1;0.039;200;266;0.006;0;1;0.0;0.045;0;0.972;-1;-1;0;
k_star_k_60_n_200_prob_0.03_1.gr;200;2;1;1;-1.0;-1;0.041;200;249;0.008;0;1;0.0;0.049;0;0.813;-1;-1;0;
k_star_k_60_n_200_prob_0.03_2.gr;200;2;1;1;-1.0;-1;0.035;200;250;0.006;0;1;0.0;0.041;0;0.739;-1;-1;0;
k_star_k_60_n_200_prob_0.03_3.gr;200;2;1;1;-1.0;-1;0.037;200;260;0.007;0;1;0.001;0.045;0;0.881;-1;-1;0;
k_star_k_60_n_200_prob_0.03_4.gr;200;2;1;1;-1.0;-1;0.041;200;249;0.006;0;1;0.0;0.047;0;0.84;-1;-1;0;
k_star_k_60_n_200_prob_0.03_5.gr;200;2;1;1;-1.0;-1;0.047;200;262;0.006;0;1;0.0;0.053;0;0.949;-1;-1;0;
k_star_k_60_n_200_prob_0.03_6.gr;200;2;1;1;-1.0;-1;0.119;200;227;0.005;0;1;0.0;0.124;0;0.849;-1;-1;0;
k_star_k_60_n_200_prob_0.03_7.gr;200;2;1;1;-1.0;-1;0.069;200;249;0.006;0;1;0.0;0.07500000000000001;0;0.861;-1;-1;0;
k_star_k_60_n_200_prob_0.03_8.gr;200;2;1;1;-1.0;-1;0.093;200;268;0.004;0;1;0.0;0.097;0;1.222;-1;-1;0;
k_star_k_60_n_200_prob_0.03_9.gr;200;2;1;1;-1.0;-1;0.071;200;250;0.006;0;1;0.0;0.077;0;0.91;-1;-1;0;
k_star_k_60_n_220_prob_0.03_0.gr;220;2;1;1;-1.0;-1;0.092;220;302;0.009;0;1;0.0;0.10099999999999999;0;1.363;-1;-1;0;
k_star_k_60_n_220_prob_0.03_1.gr;220;2;1;1;-1.0;-1;0.082;220;275;0.008;0;1;0.0;0.09;0;1.093;-1;-1;0;
k_star_k_60_n_220_prob_0.03_2.gr;220;2;1;1;-1.0;-1;0.06;220;298;0.008;0;1;0.0;0.068;0;1.2;-1;-1;0;
k_star_k_60_n_220_prob_0.03_3.gr;220;2;1;1;-1.0;-1;0.074;220;293;0.008;0;1;0.0;0.08199999999999999;0;1.325;-1;-1;0;
k_star_k_60_n_220_prob_0.03_4.gr;220;2;1;1;-1.0;-1;0.076;220;290;0.008;0;1;0.0;0.08399999999999999;0;0.79;-1;-1;0;
k_star_k_60_n_220_prob_0.03_5.gr;220;2;1;1;-1.0;-1;0.061;220;250;0.007;0;1;0.001;0.069;0;0.896;-1;-1;0;
k_star_k_60_n_220_prob_0.03_6.gr;220;2;1;1;-1.0;-1;0.058;220;302;0.009;0;1;0.0;0.067;0;0.855;-1;-1;0;
k_star_k_60_n_220_prob_0.03_7.gr;220;2;1;1;-1.0;-1;0.051;220;286;0.006;0;1;0.0;0.056999999999999995;0;1.032;-1;-1;0;
k_star_k_60_n_220_prob_0.03_8.gr;220;2;1;1;-1.0;-1;0.048;220;292;0.006;0;1;0.0;0.054;0;1.168;-1;-1;0;
k_star_k_60_n_220_prob_0.03_9.gr;220;2;1;1;-1.0;-1;0.045;220;271;0.006;0;1;0.0;0.051;0;0.972;-1;-1;0;
k_star_k_60_n_240_prob_0.03_0.gr;240;2;1;1;-1.0;-1;0.055;240;346;0.01;0;1;0.0;0.065;0;1.415;-1;-1;0;
k_star_k_60_n_240_prob_0.03_1.gr;240;2;1;1;-1.0;-1;0.056;240;322;0.01;0;1;0.001;0.067;0;1.457;-1;-1;0;
k_star_k_60_n_240_prob_0.03_2.gr;240;2;1;1;-1.0;-1;0.056;240;322;0.006;0;1;0.0;0.062;0;1.341;-1;-1;0;
k_star_k_60_n_240_prob_0.03_3.gr;240;2;1;1;-1.0;-1;0.055;240;309;0.006;0;1;0.0;0.061;0;1.156;-1;-1;0;
k_star_k_60_n_240_prob_0.03_4.gr;240;2;1;1;-1.0;-1;0.065;240;323;0.005;0;1;0.0;0.07;0;1.376;-1;-1;0;
k_star_k_60_n_240_prob_0.03_5.gr;240;2;1;1;-1.0;-1;0.053;240;356;0.007;0;1;0.0;0.06;0;1.464;-1;-1;0;
k_star_k_60_n_240_prob_0.03_6.gr;240;2;1;1;-1.0;-1;0.053;240;345;0.007;0;1;0.0;0.06;0;1.559;-1;-1;0;
k_star_k_60_n_240_prob_0.03_7.gr;240;2;1;1;-1.0;-1;0.053;240;350;0.006;0;1;0.0;0.059;0;1.192;-1;-1;0;
k_star_k_60_n_240_prob_0.03_8.gr;240;2;1;1;-1.0;-1;0.052;240;332;0.006;0;1;0.0;0.057999999999999996;0;1.31;-1;-1;0;
k_star_k_60_n_240_prob_0.03_9.gr;240;2;1;1;-1.0;-1;0.057;240;323;0.006;0;1;0.0;0.063;0;1.148;-1;-1;0;
k_star_k_60_n_260_prob_0.03_0.gr;260;2;1;1;-1.0;-1;0.067;260;372;0.008;0;1;0.0;0.07500000000000001;0;1.826;-1;-1;0;
k_star_k_60_n_260_prob_0.03_1.gr;260;2;2;1;-1.0;-1;0.061;260;390;0.008;0;1;0.0;0.069;0;1.556;-1;-1;0;
k_star_k_60_n_260_prob_0.03_2.gr;260;2;1;1;-1.0;-1;0.062;260;381;0.008;0;1;0.0;0.07;0;1.75;-1;-1;0;
k_star_k_60_n_260_prob_0.03_3.gr;260;2;1;1;-1.0;-1;0.059;260;322;0.005;0;1;0.0;0.064;0;1.472;-1;-1;0;
k_star_k_60_n_260_prob_0.03_4.gr;260;2;1;1;-1.0;-1;0.065;260;369;0.008;0;1;0.0;0.07300000000000001;0;1.548;-1;-1;0;
k_star_k_60_n_260_prob_0.03_5.gr;260;2;1;1;-1.0;-1;0.061;260;355;0.007;0;1;0.0;0.068;0;1.602;-1;-1;0;
k_star_k_60_n_260_prob_0.03_6.gr;260;2;1;1;-1.0;-1;0.061;260;372;0.007;0;1;0.001;0.069;0;1.466;-1;-1;0;
k_star_k_60_n_260_prob_0.03_7.gr;260;2;1;1;-1.0;-1;0.06;260;369;0.008;0;1;0.0;0.068;0;1.486;-1;-1;0;
k_star_k_60_n_260_prob_0.03_8.gr;260;2;1;1;-1.0;-1;0.063;260;351;0.006;0;1;0.0;0.069;0;1.653;-1;-1;0;
k_star_k_60_n_260_prob_0.03_9.gr;260;2;1;1;-1.0;-1;0.062;260;363;0.007;0;1;0.001;0.07;0;1.574;-1;-1;0;
k_star_k_60_n_280_prob_0.03_0.gr;280;2;1;1;-1.0;-1;0.07;280;408;0.008;0;1;0.0;0.07800000000000001;0;2.007;-1;-1;0;
k_star_k_60_n_280_prob_0.03_1.gr;280;2;1;1;-1.0;-1;0.076;280;380;0.008;0;1;0.0;0.08399999999999999;0;1.493;-1;-1;0;
k_star_k_60_n_280_prob_0.03_2.gr;280;2;1;1;-1.0;-1;0.069;280;360;0.006;0;1;0.0;0.07500000000000001;0;1.525;-1;-1;0;
k_star_k_60_n_280_prob_0.03_3.gr;280;2;1;1;-1.0;-1;0.077;280;404;0.009;0;1;0.0;0.086;0;1.747;-1;-1;0;
k_star_k_60_n_280_prob_0.03_4.gr;280;2;1;1;-1.0;-1;0.083;280;368;0.007;0;1;0.0;0.09000000000000001;0;1.754;-1;-1;0;
k_star_k_60_n_280_prob_0.03_5.gr;280;2;1;1;-1.0;-1;0.096;280;417;0.01;0;1;0.0;0.106;0;1.91;-1;-1;0;
k_star_k_60_n_280_prob_0.03_6.gr;280;2;1;1;-1.0;-1;0.073;280;418;0.008;0;1;0.0;0.08099999999999999;0;2.228;-1;-1;0;
k_star_k_60_n_280_prob_0.03_7.gr;280;2;1;1;-1.0;-1;0.074;280;370;0.008;0;1;0.0;0.08199999999999999;0;1.76;-1;-1;0;
k_star_k_60_n_280_prob_0.03_8.gr;280;2;1;1;-1.0;-1;0.077;280;389;0.008;0;1;0.0;0.08499999999999999;0;1.677;-1;-1;0;
k_star_k_60_n_280_prob_0.03_9.gr;280;2;2;1;-1.0;-1;0.072;280;440;0.011;0;1;0.0;0.08299999999999999;0;1.636;-1;-1;0;
k_star_k_60_n_300_prob_0.03_0.gr;300;2;1;1;-1.0;-1;0.08;300;447;0.011;0;1;0.0;0.091;0;1.974;-1;-1;0;
k_star_k_60_n_300_prob_0.03_1.gr;300;2;2;1;-1.0;-1;0.08;300;462;0.01;0;1;0.0;0.09;0;2.01;-1;-1;0;
k_star_k_60_n_300_prob_0.03_2.gr;300;2;1;1;-1.0;-1;0.079;300;402;0.008;0;1;0.0;0.087;0;1.987;-1;-1;0;
k_star_k_60_n_300_prob_0.03_3.gr;300;2;1;1;-1.0;-1;0.084;300;445;0.01;0;1;0.0;0.094;0;2.397;-1;-1;0;
k_star_k_60_n_300_prob_0.03_4.gr;300;2;1;1;-1.0;-1;0.082;300;392;0.007;0;1;0.0;0.08900000000000001;0;2.076;-1;-1;0;
k_star_k_60_n_300_prob_0.03_5.gr;300;2;1;1;-1.0;-1;0.084;300;419;0.009;0;1;0.0;0.093;0;2.499;-1;-1;0;
k_star_k_60_n_300_prob_0.03_6.gr;300;2;1;1;-1.0;-1;0.09;300;435;0.009;0;1;0.0;0.09899999999999999;0;2.049;-1;-1;0;
k_star_k_60_n_300_prob_0.03_7.gr;300;2;2;1;-1.0;-1;0.086;300;455;0.011;0;1;0.0;0.09699999999999999;0;1.947;-1;-1;0;
k_star_k_60_n_300_prob_0.03_8.gr;300;2;1;1;-1.0;-1;0.086;300;437;0.01;0;1;0.001;0.09699999999999999;0;1.968;-1;-1;0;
k_star_k_60_n_300_prob_0.03_9.gr;300;2;2;1;-1.0;-1;0.087;300;468;0.01;0;1;0.0;0.09699999999999999;0;2.229;-1;-1;0;
k_star_k_60_n_320_prob_0.03_0.gr;320;2;1;1;-1.0;-1;0.095;320;447;0.01;0;1;0.0;0.105;0;1.738;-1;-1;0;
k_star_k_60_n_320_prob_0.03_1.gr;320;2;1;1;-1.0;-1;0.241;320;465;0.011;0;1;0.0;0.252;0;2.29;-1;-1;0;
k_star_k_60_n_320_prob_0.03_2.gr;320;2;1;1;-1.0;-1;0.179;320;471;0.01;0;1;0.0;0.189;0;2.899;-1;-1;0;
k_star_k_60_n_320_prob_0.03_3.gr;320;2;1;1;-1.0;-1;0.141;320;426;0.011;0;1;0.0;0.152;0;2.21;-1;-1;0;
k_star_k_60_n_320_prob_0.03_4.gr;320;2;1;1;-1.0;-1;0.115;320;465;0.011;0;1;0.0;0.126;0;2.652;-1;-1;0;
k_star_k_60_n_320_prob_0.03_5.gr;320;2;1;1;-1.0;-1;0.115;320;447;0.009;0;1;0.0;0.124;0;2.221;-1;-1;0;
k_star_k_60_n_320_prob_0.03_6.gr;320;2;2;1;-1.0;-1;0.121;320;497;0.013;0;1;0.0;0.134;0;2.182;-1;-1;0;
k_star_k_60_n_320_prob_0.03_7.gr;320;2;2;1;-1.0;-1;0.134;320;487;0.011;0;1;0.0;0.14500000000000002;0;2.23;-1;-1;0;
k_star_k_60_n_320_prob_0.03_8.gr;320;2;1;1;-1.0;-1;0.201;320;468;0.011;0;1;0.0;0.21200000000000002;0;2.615;-1;-1;0;
k_star_k_60_n_320_prob_0.03_9.gr;320;2;1;1;-1.0;-1;0.135;320;437;0.01;0;1;0.0;0.14500000000000002;0;2.566;-1;-1;0;
k_star_k_60_n_340_prob_0.03_0.gr;340;2;2;1;-1.0;-1;0.127;340;539;0.013;0;1;0.0;0.14;0;2.653;-1;-1;0;
k_star_k_60_n_340_prob_0.03_1.gr;340;2;1;1;-1.0;-1;0.13;340;505;0.013;0;1;0.0;0.14300000000000002;0;2.73;-1;-1;0;
k_star_k_60_n_340_prob_0.03_2.gr;340;2;2;1;-1.0;-1;0.147;340;525;0.013;0;1;0.0;0.16;0;2.99;-1;-1;0;
k_star_k_60_n_340_prob_0.03_3.gr;340;2;1;1;-1.0;-1;0.128;340;495;0.012;0;1;0.0;0.14;0;2.058;-1;-1;0;
k_star_k_60_n_340_prob_0.03_4.gr;340;2;1;1;-1.0;-1;0.12;340;505;0.012;0;1;0.0;0.132;0;2.461;-1;-1;0;
k_star_k_60_n_340_prob_0.03_5.gr;340;2;1;1;-1.0;-1;0.131;340;482;0.011;0;1;0.0;0.14200000000000002;0;2.146;-1;-1;0;
k_star_k_60_n_340_prob_0.03_6.gr;340;2;1;1;-1.0;-1;0.132;340;483;0.012;0;1;0.0;0.14400000000000002;0;2.287;-1;-1;0;
k_star_k_60_n_340_prob_0.03_7.gr;340;2;1;1;-1.0;-1;0.136;340;493;0.012;0;1;0.001;0.14900000000000002;0;2.183;-1;-1;0;
k_star_k_60_n_340_prob_0.03_8.gr;340;2;2;1;-1.0;-1;0.158;340;522;0.013;0;1;0.0;0.171;0;2.376;-1;-1;0;
k_star_k_60_n_340_prob_0.03_9.gr;340;2;1;1;-1.0;-1;0.192;340;490;0.012;0;1;0.0;0.20400000000000001;0;2.355;-1;-1;0;
k_star_k_60_n_360_prob_0.03_0.gr;360;2;2;1;-1.0;-1;0.27;360;544;0.014;0;1;0.0;0.28400000000000003;0;2.601;-1;-1;0;
k_star_k_60_n_360_prob_0.03_1.gr;360;2;2;1;-1.0;-1;0.174;360;558;0.015;0;1;0.0;0.189;0;2.654;-1;-1;0;
k_star_k_60_n_360_prob_0.03_2.gr;360;2;1;1;-1.0;-1;0.161;360;509;0.012;0;1;0.0;0.17300000000000001;0;2.584;-1;-1;0;
k_star_k_60_n_360_prob_0.03_3.gr;360;2;1;1;-1.0;-1;0.167;360;530;0.013;0;1;0.001;0.18100000000000002;0;3.086;-1;-1;0;
k_star_k_60_n_360_prob_0.03_4.gr;360;2;1;1;-1.0;-1;0.132;360;520;0.012;0;1;0.0;0.14400000000000002;0;3.183;-1;-1;0;
k_star_k_60_n_360_prob_0.03_5.gr;360;2;1;1;-1.0;-1;0.152;360;531;0.014;0;1;0.0;0.166;0;3.135;-1;-1;0;
k_star_k_60_n_360_prob_0.03_6.gr;360;2;1;1;-1.0;-1;0.145;360;537;0.013;0;1;0.0;0.158;0;2.847;-1;-1;0;
k_star_k_60_n_360_prob_0.03_7.gr;360;2;2;1;-1.0;-1;0.14;360;562;0.014;0;1;0.0;0.15400000000000003;0;2.834;-1;-1;0;
k_star_k_60_n_360_prob_0.03_8.gr;360;2;2;1;-1.0;-1;0.134;360;567;0.015;0;1;0.0;0.14900000000000002;0;3.151;-1;-1;0;
k_star_k_60_n_360_prob_0.03_9.gr;360;2;2;1;-1.0;-1;0.189;360;573;0.015;0;1;0.0;0.20400000000000001;0;3.493;-1;-1;0;
k_star_k_60_n_380_prob_0.03_0.gr;380;2;2;1;-1.0;-1;0.288;380;600;0.016;0;1;0.0;0.304;0;3.258;-1;-1;0;
k_star_k_60_n_380_prob_0.03_1.gr;380;2;1;1;-1.0;-1;0.231;380;568;0.015;0;1;0.0;0.246;0;3.091;-1;-1;0;
k_star_k_60_n_380_prob_0.03_2.gr;380;2;2;1;-1.0;-1;0.207;380;576;0.014;0;1;0.001;0.222;0;3.418;-1;-1;0;
k_star_k_60_n_380_prob_0.03_3.gr;380;2;2;1;-1.0;-1;0.214;380;572;0.015;0;1;0.001;0.22999999999999998;0;2.975;-1;-1;0;
k_star_k_60_n_380_prob_0.03_4.gr;380;2;2;1;-1.0;-1;0.187;380;599;0.017;0;1;0.001;0.20500000000000002;0;3.614;-1;-1;0;
k_star_k_60_n_380_prob_0.03_5.gr;380;2;1;1;-1.0;-1;0.186;380;541;0.014;0;1;0.0;0.2;0;3.585;-1;-1;0;
k_star_k_60_n_380_prob_0.03_6.gr;380;2;1;1;-1.0;-1;0.211;380;552;0.015;0;1;0.0;0.22599999999999998;0;4.276;-1;-1;0;
k_star_k_60_n_380_prob_0.03_7.gr;380;2;1;1;-1.0;-1;0.179;380;557;0.014;0;1;0.0;0.193;0;2.741;-1;-1;0;
k_star_k_60_n_380_prob_0.03_8.gr;380;2;2;1;-1.0;-1;0.175;380;624;0.019;0;1;0.0;0.19399999999999998;0;3.311;-1;-1;0;
k_star_k_60_n_380_prob_0.03_9.gr;380;2;2;1;-1.0;-1;0.175;380;627;0.018;0;1;0.0;0.19299999999999998;0;3.783;-1;-1;0;
k_star_k_60_n_400_prob_0.03_0.gr;400;2;2;1;-1.0;-1;0.191;400;653;0.021;0;1;0.0;0.212;0;4.502;-1;-1;0;
k_star_k_60_n_400_prob_0.03_1.gr;400;2;2;1;-1.0;-1;0.195;400;625;0.018;0;1;0.0;0.213;0;4.255;-1;-1;0;
k_star_k_60_n_400_prob_0.03_2.gr;400;2;2;1;-1.0;-1;0.212;400;628;0.018;0;1;0.001;0.23099999999999998;0;3.86;-1;-1;0;
k_star_k_60_n_400_prob_0.03_3.gr;400;2;1;1;-1.0;-1;0.195;400;597;0.017;0;1;0.0;0.21200000000000002;0;3.311;-1;-1;0;
k_star_k_60_n_400_prob_0.03_4.gr;400;2;2;1;-1.0;-1;0.196;400;607;0.017;0;1;0.001;0.21400000000000002;0;4.185;-1;-1;0;
k_star_k_60_n_400_prob_0.03_5.gr;400;2;2;1;-1.0;-1;0.212;400;625;0.018;0;1;0.001;0.23099999999999998;0;3.601;-1;-1;0;
k_star_k_60_n_400_prob_0.03_6.gr;400;2;2;1;-1.0;-1;0.209;400;630;0.019;0;1;0.0;0.22799999999999998;0;3.69;-1;-1;0;
k_star_k_60_n_400_prob_0.03_7.gr;400;2;2;1;-1.0;-1;0.198;400;622;0.018;0;1;0.0;0.216;0;3.892;-1;-1;0;
k_star_k_60_n_400_prob_0.03_8.gr;400;2;2;1;-1.0;-1;0.204;400;605;0.017;0;1;0.0;0.22099999999999997;0;2.968;-1;-1;0;
k_star_k_60_n_400_prob_0.03_9.gr;400;2;1;1;-1.0;-1;0.191;400;598;0.017;0;1;0.001;0.20900000000000002;0;3.266;-1;-1;0;
k_star_k_60_n_420_prob_0.03_0.gr;420;2;1;1;-1.0;-1;0.223;420;620;0.018;0;1;0.001;0.242;0;4.023;-1;-1;0;
