nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
600;-1;0.328;0.328;0.0;0.0;4;-1;0.0;-1;2.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.484;0.469;0.015;0.0;4;-1;0.0;-1;0.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.67;0.654;0.016;0.0;5;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;5;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;5;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;5;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;5;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.405;0.39;0.015;0.0;5;-1;0.0;-1;0.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.36;0.344;0.016;0.0;5;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;5;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;5;-1;0.0;-1;2.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;5;-1;0.0;-1;0.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;6;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.46900000000000003;0.453;0.016;0.0;6;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;6;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.333;0.317;0.016;0.0;6;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.374;0.359;0.015;0.0;6;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;6;-1;0.0;-1;0.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;6;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;6;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;6;-1;0.0;-1;2.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;6;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;7;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;7;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.374;0.328;0.046;0.0;7;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;7;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;7;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;7;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;7;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.375;0.36;0.015;0.0;7;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;7;-1;0.0;-1;2.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;7;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.67;0.654;0.016;0.0;8;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.468;0.453;0.015;0.0;8;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;8;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;8;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.375;0.359;0.016;0.0;8;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;8;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.359;0.344;0.015;0.0;8;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;8;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;8;-1;0.0;-1;2.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.485;0.469;0.016;0.0;8;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;9;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;9;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;9;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;9;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;9;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;9;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;9;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;9;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;9;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.484;0.469;0.0;0.015;9;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;10;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;10;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;10;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;10;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;10;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;10;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;10;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;10;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;10;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.485;0.469;0.016;0.0;10;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;11;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;11;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.343;0.328;0.015;0.0;11;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;11;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;11;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.406;0.39;0.016;0.0;11;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;11;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.375;0.36;0.0;0.015;11;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;11;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;11;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.67;0.654;0.016;0.0;12;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;12;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;12;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.333;0.317;0.016;0.0;12;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;12;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;12;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.363;0.344;0.019;0.0;12;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.364;0.36;0.003;0.001;12;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.332;0.328;0.004;0.0;12;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;12;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;13;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.46900000000000003;0.453;0.016;0.0;13;-1;0.0;-1;3.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;13;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.332;0.317;0.0;0.015;13;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;13;-1;0.0;-1;3.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;13;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;13;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;13;-1;0.0;-1;1.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;13;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;13;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;14;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;14;-1;0.0;-1;14.0;2.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;14;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.333;0.317;0.016;0.0;14;-1;0.0;-1;1.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;14;-1;0.0;-1;13.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;14;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;14;-1;0.0;-1;2.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;14;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;14;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;14;-1;0.0;-1;5.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;15;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;15;-1;0.0;-1;13.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.343;0.328;0.015;0.0;15;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;15;-1;0.0;-1;14.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;15;-1;0.0;-1;13.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.406;0.39;0.016;0.0;15;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;15;-1;0.0;-1;14.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;15;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;15;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;15;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;16;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.468;0.453;0.015;0.0;16;-1;0.0;-1;13.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;16;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;16;-1;0.0;-1;14.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;16;-1;0.0;-1;13.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;16;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.359;0.344;0.015;0.0;16;-1;0.0;-1;14.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;16;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;16;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.485;0.469;0.016;0.0;16;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;17;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.46900000000000003;0.453;0.0;0.016;17;-1;0.0;-1;13.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;17;-1;0.0;-1;4.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;17;-1;0.0;-1;14.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.374;0.359;0.015;0.0;17;-1;0.0;-1;13.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;17;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.36;0.344;0.016;0.0;17;-1;0.0;-1;14.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;17;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.343;0.328;0.015;0.0;17;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;17;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.67;0.654;0.016;0.0;18;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;18;-1;0.0;-1;13.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;18;-1;0.0;-1;16.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;18;-1;0.0;-1;14.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;18;-1;0.0;-1;13.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.405;0.39;0.015;0.0;18;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;18;-1;0.0;-1;14.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;18;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.34400000000000003;0.328;0.016;0.0;18;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.469;0.469;0.0;0.0;18;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;19;-1;0.0;-1;1.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;19;-1;0.0;-1;13.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.343;0.328;0.015;0.0;19;-1;0.0;-1;16.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;19;-1;0.0;-1;14.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.375;0.359;0.016;0.0;19;-1;0.0;-1;13.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;19;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.344;0.344;0.0;0.0;19;-1;0.0;-1;14.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.375;0.36;0.015;0.0;19;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;19;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.485;0.469;0.016;0.0;19;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.654;0.654;0.0;0.0;20;-1;0.0;-1;19.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.453;0.453;0.0;0.0;20;-1;0.0;-1;13.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;20;-1;0.0;-1;16.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.317;0.317;0.0;0.0;20;-1;0.0;-1;14.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.359;0.359;0.0;0.0;20;-1;0.0;-1;13.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.39;0.39;0.0;0.0;20;-1;0.0;-1;6.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.36;0.344;0.0;0.016;20;-1;0.0;-1;14.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.36;0.36;0.0;0.0;20;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.328;0.328;0.0;0.0;20;-1;0.0;-1;8.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.485;0.469;0.016;0.0;20;-1;0.0;-1;13.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
